,gene,score
761,803,0.02469051443040371
68,72,0.014957018662244081
8,8,0.014404328539967537
573,601,0.010913280304521322
789,831,0.008607350697275251
131,138,0.008273700485005975
164,172,0.007961740717291832
122,128,0.007590018678456545
492,517,0.0075828698463737965
828,870,0.007563903403934091
501,526,0.007345605059526861
295,312,0.00683192431461066
454,478,0.006633934855926782
770,812,0.006577056832611561
184,192,0.006519602378830314
671,706,0.00649712816812098
565,593,0.006464917911216617
626,658,0.006377551122568548
691,727,0.006050619296729565
798,840,0.006023270019795746
708,746,0.005854754941537976
647,680,0.00565126002766192
215,227,0.005425406969152391
714,752,0.005282545578666031
558,586,0.005208722315728664
663,696,0.005208046408370137
73,77,0.005048668012022972
324,342,0.005029851628933102
698,735,0.004916923702694476
856,898,0.004905314999632537
397,421,0.004464854660909623
16,16,0.004446557257324457
922,967,0.004415900097228587
233,246,0.00441583467181772
262,277,0.00417437928263098
487,512,0.004124398226849735
767,809,0.004081454098923132
806,848,0.004045153094921261
720,758,0.004015442857053131
317,335,0.004001228051492944
595,624,0.003987125062849373
446,470,0.003834719769656658
425,449,0.003819276869762689
447,471,0.0037612224696204066
37,38,0.003754913224838674
246,260,0.0036304505192674696
571,599,0.003588360865251161
499,524,0.00358370877802372
538,566,0.0035664336755871773
611,643,0.0035090225865133107
442,466,0.0034279735409654677
625,657,0.003424706810619682
547,575,0.003373012237716466
36,37,0.0033660019980743527
453,477,0.00328712968621403
905,950,0.003267582564149052
255,269,0.0032148213940672576
540,568,0.0031561223440803587
290,306,0.0030887951143085957
842,884,0.0029569564503617585
574,602,0.0029193079099059105
690,726,0.0028829275397583842
797,839,0.0028818479331675917
395,419,0.0028530426789075136
368,389,0.0027966054622083902
863,905,0.002756332920398563
256,271,0.002712670771870762
650,683,0.002679542056284845
762,804,0.00267515133600682
562,590,0.00267073669238016
116,121,0.002662031794898212
875,919,0.002610014285892248
177,185,0.002606838766951114
700,737,0.002603575703687966
517,542,0.0025990057038143277
355,376,0.002484599652234465
702,740,0.0024596762959845364
103,108,0.0024233802687376738
919,964,0.002394676732365042
560,588,0.0023362843203358352
309,327,0.0022747029361198656
0,0,0.002263935806695372
364,385,0.0022621642565354705
350,371,0.002254921564599499
216,229,0.002246248535811901
520,545,0.0022274062503129244
473,498,0.0022211676696315408
555,583,0.0021455357200466096
369,390,0.002145134611055255
860,902,0.0021240822970867157
855,897,0.002120776494848542
237,250,0.002118945529218763
848,890,0.002114652656018734
426,450,0.002092385431751609
788,830,0.0020860721124336123
910,955,0.002080226957332343
510,535,0.002067905734293163
924,969,0.0020292994449846447
25,26,0.002019665960688144
597,626,0.0019838913867715746
399,423,0.0019633672200143337
163,171,0.0019631112227216363
518,543,0.001961860805749893
503,528,0.0019513735314831138
852,894,0.0019435958820395172
677,712,0.0019149587315041572
805,847,0.001911837374791503
444,468,0.001891504623927176
242,256,0.001884667668491602
29,30,0.001829632034059614
679,714,0.0018026389880105853
459,483,0.0017999971460085362
534,561,0.0017724904173519462
437,461,0.001741348096402362
640,673,0.0017380932113155723
61,63,0.0017203465686179698
217,230,0.0016905736410990357
392,415,0.0016820341697894037
231,244,0.001677385123912245
107,112,0.0016679594991728663
411,435,0.0016519491910003126
939,984,0.001640623901039362
83,87,0.0016215330106206238
749,791,0.0016211707479669712
6,6,0.001588486135005951
748,790,0.0015806551091372967
471,495,0.0015682198572903872
443,467,0.0015681141521781683
674,709,0.0015609965194016695
332,352,0.001559591037221253
72,76,0.001513841561973095
199,207,0.0014982626307755709
909,954,0.0014750955742783844
186,194,0.0014684600464534014
508,533,0.0014652835670858622
458,482,0.0014574899687431753
837,879,0.001449448463972658
667,700,0.001429897965863347
371,392,0.0014266514917835593
712,750,0.0014041902031749487
680,715,0.0013959233765490353
695,732,0.0013885808875784278
931,976,0.0013880025362595916
241,255,0.001379199675284326
463,487,0.00133421529608313
260,275,0.001330596744082868
419,443,0.0013276038225740194
795,837,0.0013204747228883207
943,988,0.0013148793368600309
879,924,0.0013044531515333802
658,691,0.0012881274451501667
809,851,0.0012872583465650678
222,235,0.0012694455072050914
916,961,0.001261869227164425
590,618,0.0012568319216370583
365,386,0.0012544459896162152
213,224,0.0012509641819633543
19,20,0.001250148518010974
331,351,0.0012450374197214842
211,222,0.0012315218336880207
450,474,0.0012180201592855155
239,252,0.0012177751050330698
609,641,0.0012055529514327645
283,298,0.001192710013128817
570,598,0.001185935063404031
529,556,0.0011783608933910728
85,89,0.0011759017361328006
146,154,0.001159782419563271
42,43,0.0011596488766372204
482,507,0.0011560148559510708
791,833,0.0011458511580713093
291,307,0.0011439412483014166
519,544,0.0011206089984625578
643,676,0.0011168780620209873
612,644,0.0011135548120364547
861,903,0.0011050719767808914
344,365,0.0010944220703095198
718,756,0.0010903158690780401
86,90,0.0010812264663400128
327,346,0.0010737532866187394
63,65,0.001072798389941454
191,199,0.001069459831342101
265,280,0.0010656840167939663
326,344,0.00105948286363855
261,276,0.0010559691727394238
101,105,0.0010553681568126194
665,698,0.0010501655924599618
160,168,0.0010481752688065171
130,137,0.0010476529132574797
274,289,0.001035513065289706
850,892,0.001032777756336145
372,394,0.0010233583743683994
715,753,0.0010188928135903552
200,208,0.0009831409115577117
89,93,0.0009777731320355088
243,257,0.0009723648690851405
500,525,0.0009713642066344619
337,358,0.0009682423260528594
858,900,0.000967422325629741
121,127,0.0009659126226324588
719,757,0.0009517241269350052
881,926,0.0009408682235516608
480,505,0.0009256871126126498
877,921,0.0009230669820681214
635,668,0.0009222675143973902
532,559,0.0009179055923596025
12,12,0.0009155832231044769
925,970,0.0009145045187324286
269,284,0.0009098154841922224
339,360,0.0009080702147912234
572,600,0.0008975847158581018
348,369,0.0008912754419725388
384,407,0.0008908285235520452
92,96,0.000877765123732388
470,494,0.0008748760737944394
280,295,0.0008619911386631429
306,324,0.0008563206647522748
108,113,0.0008403849205933511
505,530,0.0008374710305361077
13,13,0.0008365791290998459
219,232,0.0008353223965968937
159,167,0.0008300389745272696
60,62,0.000829571217764169
553,581,0.0008259785827249289
