,gene,score
907,948,0.029913465026766062
112,117,0.023458112496882677
422,445,0.01304457918740809
889,930,0.012188582913950086
539,566,0.011446900200098753
362,383,0.011326212203130126
158,166,0.009814864839427173
803,841,0.009332903660833836
674,706,0.009314363822340965
260,274,0.00919836334651336
910,951,0.00906653088168241
68,73,0.00904103321954608
178,187,0.008817394846118987
518,543,0.008403039770200849
606,633,0.008375536825042218
71,76,0.008345289388671517
160,168,0.008319903863593936
843,882,0.008012916310690343
89,94,0.00800776036339812
216,229,0.007833378738723695
686,718,0.007050753978546709
462,485,0.0069475851487368345
335,355,0.006890546646900475
289,305,0.006864759780000895
696,730,0.006823433213867247
792,830,0.006749993190169334
754,792,0.006632737349718809
360,381,0.006521136732771993
355,376,0.006466513266786933
526,552,0.0062699198024347425
914,955,0.006194365909323096
303,321,0.006106631830334663
373,395,0.006001702276989818
943,984,0.00592482415959239
308,326,0.005597958399448544
492,517,0.005534355528652668
709,744,0.005526328110136092
455,478,0.0053185634315013885
508,533,0.0053101409575901926
428,451,0.005210083676502109
206,216,0.005186932627111673
721,756,0.0050803833873942494
215,227,0.005030082771554589
687,719,0.004891660995781422
142,150,0.004840691311983392
427,450,0.0047811358235776424
629,658,0.004715909715741873
184,193,0.0047100328374654055
688,721,0.004635601886548102
615,644,0.004614854551618919
854,893,0.004590405791532248
555,582,0.004539350455161184
797,835,0.004518435802310705
739,777,0.004518413334153593
19,20,0.004508085432462394
254,268,0.004479933035327122
620,649,0.0044746146304532886
559,586,0.004467603634111583
750,788,0.004400401376187801
633,662,0.004298418760299683
43,45,0.004290529061108828
322,340,0.004276940249837935
59,62,0.0042489044717513025
781,819,0.004248717334121466
94,99,0.0042416248470544815
523,549,0.004226319375447929
756,794,0.004187874961644411
154,162,0.004162008874118328
29,30,0.004150328051764518
412,435,0.004147800209466368
566,593,0.004114177078008652
586,613,0.00409118935931474
365,386,0.004076444543898106
111,116,0.0040619708597660065
490,515,0.003973769838921726
691,724,0.003968262579292059
706,741,0.003929465543478727
517,542,0.0038087329594418406
857,896,0.00379859353415668
397,420,0.003731645439984277
775,813,0.00372143043205142
514,539,0.003706927760504186
175,184,0.0036973983224015683
552,579,0.0036636515287682414
647,677,0.0036103121819905937
229,243,0.0035959805827587843
621,650,0.0035627074539661407
347,368,0.0034864786721300334
650,680,0.0033771233283914626
554,581,0.003347162448335439
612,641,0.0033406151924282312
684,716,0.0033374950289726257
611,639,0.00333220895845443
614,643,0.0032466288248542696
307,325,0.0032419868948636577
662,692,0.0032135681249201298
237,251,0.003151228796923533
929,970,0.0030914198141545057
202,212,0.0030758907669223845
810,848,0.003052162704989314
748,786,0.003028454026207328
169,178,0.003024763660505414
520,545,0.0029554474022006616
363,384,0.002947660395875573
377,399,0.0028891590773127973
710,745,0.002883686334826052
801,839,0.002825625706464052
747,785,0.002788912126561627
767,805,0.0027861325070261955
672,702,0.002760750998277217
897,938,0.0027338297804817557
83,88,0.0026842676306841895
77,82,0.002652846567798406
11,11,0.0026513347402215004
432,455,0.0026399759808555245
875,915,0.002617204387206584
928,969,0.0026158163091167808
835,874,0.0025837812572717667
886,927,0.0025572170125087723
380,403,0.0025296479579992592
487,512,0.002525465562939644
871,910,0.002509937738068402
880,920,0.0024901824654079974
703,737,0.0024577313743066043
426,449,0.00245629163691774
247,261,0.0024199812905862927
657,687,0.00239643469103612
579,606,0.0023759783362038434
407,430,0.0023620664433110505
220,234,0.002339652826776728
280,294,0.0023072099429555237
8,8,0.0022888407111167908
644,673,0.002284066373249516
279,293,0.002267627452965826
823,861,0.0022635300701949745
52,55,0.002236575062852353
445,468,0.002210855978773907
301,319,0.002175897650886327
28,29,0.0021563326590694487
309,327,0.0021545043564401567
81,86,0.0021321341046132147
521,546,0.0020968312746845186
182,191,0.0020758055325131863
817,855,0.002070808957796544
573,600,0.002069353620754555
867,906,0.0020416315674083307
277,291,0.0020406825933605433
818,856,0.0020402309019118547
637,666,0.0020238602301105857
145,153,0.002003512578085065
859,898,0.001998653751797974
62,65,0.0019970890425611287
848,887,0.0019854067359119654
324,342,0.00192266923841089
108,113,0.0019206652650609612
141,149,0.0018904526950791478
330,350,0.0018814434297382832
449,472,0.0018773526535369456
716,751,0.0018449198105372488
298,316,0.0018231865833513439
188,197,0.0018144004279747605
938,979,0.0018078491557389498
828,866,0.0018048370839096606
208,220,0.001789536909200251
430,453,0.0017657950520515442
205,215,0.0017656508716754615
144,152,0.0017633872339501977
735,773,0.0017576801183167845
375,397,0.0017566219321452081
574,601,0.001746567024383694
399,422,0.0017331140988972038
752,790,0.0017325485023320653
400,423,0.0017228777578566223
90,95,0.001722149783745408
733,771,0.00171289051650092
719,754,0.0016985819675028324
560,587,0.0016891290433704853
174,183,0.0016699067782610655
599,626,0.0016665351868141443
92,97,0.0016636663349345326
528,554,0.001646585384150967
368,389,0.0016439188766526058
374,396,0.0016391099197790027
789,827,0.0016287153703160584
4,4,0.0016174055635929108
850,889,0.0015679997159168124
224,238,0.0015507927018916234
587,614,0.0015474712272407487
879,919,0.0015434861415997148
692,725,0.0015373496571555734
34,36,0.0015217001782730222
769,807,0.0015208874683594331
460,483,0.0014854750770609826
533,559,0.0014794226444792002
581,608,0.0014773050788789988
252,266,0.0014771633286727592
856,895,0.0014767380489502102
257,271,0.001474063887144439
663,693,0.0014712067204527557
594,621,0.001470605522627011
126,133,0.001457568141631782
855,894,0.0014460760867223144
271,285,0.001441921922378242
66,71,0.0014376945946423803
788,826,0.0014369641648954712
489,514,0.00143526925239712
467,490,0.0014304342330433428
386,409,0.0014296682784333825
326,344,0.0014281969924923033
833,871,0.0014181672013364732
170,179,0.0014154370874166489
600,627,0.0014106229646131396
250,264,0.0014082660200074315
714,749,0.0014054406492505223
198,207,0.0013960517244413495
129,136,0.001375452644424513
85,90,0.001371029851725325
766,804,0.0013704635784961283
475,499,0.0013512615114450455
641,670,0.0013453184510581195
345,366,0.0013397467700997368
783,821,0.0013397370930761099
494,519,0.0013333848037291318
290,306,0.0013312855880940333
295,312,0.0013085072860121727
779,817,0.0013049141416558996
722,757,0.0012860256392741576
201,211,0.001285094826016575
459,482,0.0012763734994223341
877,917,0.001274565001949668
898,939,0.001269420376047492
876,916,0.0012638335902011022
434,457,0.0012573852145578712
263,277,0.001251506619155407
344,365,0.0012514401460066438
443,466,0.0012446233304217458
219,233,0.0012430371425580233
359,380,0.0012428897898644209
57,60,0.0012359103129711002
196,205,0.0012303027033340186
700,734,0.0012195646995678544
353,374,0.0012172957649454474
645,674,0.0012129361275583506
731,769,0.001206941087730229
207,217,0.0011996302637271583
410,433,0.0011942959681618959
538,565,0.0011896223586518317
273,287,0.0011890553869307041
366,387,0.00118564028525725
341,362,0.0011846885026898235
179,188,0.001182241874630563
765,803,0.0011804355308413506
805,843,0.001175022145616822
763,801,0.001171879717730917
561,588,0.001171723532024771
325,343,0.0011640909942798316
793,831,0.001157789898570627
702,736,0.0011450359015725553
9,9,0.0011426527053117752
806,844,0.001130616874434054
790,828,0.0011275579454377294
186,195,0.0011265843058936298
540,567,0.0011265507637290284
259,273,0.0011181554291397333
638,667,0.0011157085682498291
860,899,0.0011097471870016307
604,631,0.0010941065702354535
501,526,0.001092208200134337
677,709,0.001089627854526043
906,947,0.0010837113368324935
913,954,0.0010824283817782998
86,91,0.0010794164409162477
195,204,0.001075724205293227
450,473,0.0010709052439779043
402,425,0.0010648328461684287
466,489,0.0010642713168635964
730,768,0.0010637109517119825
41,43,0.0010579558584140614
456,479,0.0010518599883653224
238,252,0.0010495253081899136
87,92,0.0010403670312371105
642,671,0.0010394686250947416
917,958,0.001035664405208081
549,576,0.001032272310112603
819,857,0.0010285729949828237
61,64,0.0010127135319635272
370,391,0.001008443723549135
296,313,0.0010050403034256306
945,986,0.0010028218966908753
541,568,0.0009982085321098566
251,265,0.0009958078153431416
36,38,0.0009874502138700336
473,497,0.0009793286153580993
210,222,0.000978779949946329
711,746,0.0009770088363438845
618,647,0.0009651579603087157
76,81,0.0009580716141499579
418,441,0.0009542087427689694
695,728,0.0009499621519353241
762,800,0.0009488394134677947
31,33,0.0009442003211006522
286,301,0.0009410716884303838
558,585,0.0009264540567528456
505,530,0.0009242763044312596
778,816,0.0009154949220828712
522,548,0.0009153687860816717
383,406,0.0009105581411859021
884,925,0.0008940516272559762
457,480,0.0008867857686709613
236,250,0.0008856308413669467
183,192,0.0008809526916593313
753,791,0.0008797162445262074
166,174,0.000878609498613514
392,415,0.0008703491184860468
499,524,0.0008680126629769802
933,974,0.0008628270588815212
425,448,0.0008618432329967618
628,657,0.0008595967083238065
415,438,0.0008575805404689163
128,135,0.0008502636337652802
870,909,0.0008322838693857193
632,661,0.0008314530423376709
947,988,0.000828233256470412
45,48,0.0008255075663328171
471,495,0.0008233303669840097
865,904,0.0008231748943217099
511,536,0.0008223108889069408
232,246,0.000820539404230658
120,126,0.0008173623355105519
253,267,0.0008104950829874724
63,66,0.0008079076651483774
107,112,0.0008012648031581193
209,221,0.0007955727924127132
315,333,0.000791720362030901
935,976,0.0007898482581367716
648,678,0.0007836856530047953
736,774,0.0007828681555110961
918,959,0.000772356113884598
299,317,0.0007703260689595481
350,371,0.0007633594505023211
349,370,0.0007600551471114159
246,260,0.0007589729575556703
245,259,0.0007529952854383737
97,102,0.0007516377663705498
388,411,0.0007513714081142098
513,538,0.000747143873013556
678,710,0.0007434629224007949
737,775,0.0007349859224632382
149,157,0.0007268752669915557
285,300,0.0007221888517960906
715,750,0.0007198433158919215
484,509,0.0007168882002588362
256,270,0.0007076294568832964
244,258,0.0007001030608080328
222,236,0.0006975378782954067
118,123,0.0006930510280653834
755,793,0.0006881704757688567
391,414,0.000687635169015266
922,963,0.0006861878791823983
474,498,0.0006849613127997145
105,110,0.0006760078686056659
0,0,0.000671703051921213
288,304,0.0006707989668939263
770,808,0.000667781219817698
294,311,0.0006628439587075263
478,503,0.000660594116197899
116,121,0.000659627839922905
697,731,0.0006546163203893229
746,784,0.0006537414737977087
940,981,0.0006536927248816937
658,688,0.000653383533062879
949,990,0.0006399444537237287
151,159,0.0006393502117134631
531,557,0.0006382523133652285
646,676,0.0006253933097468689
556,583,0.0006198819610290229
264,278,0.0006141319317976013
588,615,0.0006089122325647622
718,753,0.0006046381895430386
608,635,0.0006002981390338391
165,173,0.000590061245020479
472,496,0.0005880328535567969
548,575,0.0005833361647091806
515,540,0.000582170527195558
378,400,0.0005809359718114138
15,15,0.0005730376578867435
448,471,0.0005655481363646686
900,941,0.0005573106463998556
255,269,0.0005534445226658136
453,476,0.0005525061715161428
553,580,0.0005515934608411044
915,956,0.0005485265864990652
40,42,0.0005482802225742489
653,683,0.0005424597184173763
761,799,0.0005317570321494713
941,982,0.0005311482382239774
249,263,0.0005287532403599471
930,971,0.0005280628538457677
580,607,0.0005260489415377378
265,279,0.0005233946794760413
419,442,0.0005223951884545386
103,108,0.0005197231657803059
405,428,0.0005196247511776164
927,968,0.0005179137806408107
6,6,0.0005162954330444336
226,240,0.0005131901270942762
100,105,0.0005097454995848238
199,208,0.0005056500958744437
281,295,0.0005051713087595999
268,282,0.000502812210470438
852,891,0.0005002028337912634
336,356,0.0004980253943358548
334,354,0.0004961541126249358
665,695,0.0004923465603496879
617,646,0.0004902684013359249
909,950,0.0004785146738868207
482,507,0.0004721224831882864
393,416,0.00047062570229172707
275,289,0.0004692684597102925
173,182,0.00046808834304101765
269,283,0.00046758555981796235
668,698,0.0004669061745516956
171,180,0.0004560154629871249
50,53,0.0004468156985240057
881,921,0.00043913896661251783
899,940,0.00043898718286072835
795,833,0.00043775995436590165
537,564,0.0004373926785774529
106,111,0.00043729538447223604
143,151,0.0004348819493316114
213,225,0.0004309162904974073
853,892,0.0004271774087101221
563,590,0.00042586136260069907
372,394,0.00042524971649982035
54,57,0.0004231452621752396
840,879,0.000418064504629001
782,820,0.0004142610414419323
925,966,0.00041202903958037496
381,404,0.00040908073424361646
693,726,0.00039831639151088893
314,332,0.0003970398975070566
470,493,0.00039452934288419783
340,361,0.00039207685040310025
24,25,0.00039159879088401794
187,196,0.0003892177774105221
956,997,0.00038313743425533175
204,214,0.00038264312024693936
942,983,0.0003825265375780873
605,632,0.0003808050532825291
666,696,0.0003795165102928877
32,34,0.00037498254096135497
191,200,0.00037294302455848083
847,886,0.00037254352355375886
291,307,0.00037249478918965906
406,429,0.00037138332845643163
955,996,0.00037084655195940286
417,440,0.0003695346385939047
791,829,0.0003663257521111518
920,961,0.0003625984536483884
675,707,0.0003449784417171031
873,913,0.00033646245719864964
732,770,0.0003339716204209253
934,975,0.0003329308092361316
136,143,0.00032798966276459396
93,98,0.0003278877411503345
924,965,0.00032599418773315847
84,89,0.0003247094064136036
437,460,0.00031530114938504994
504,529,0.00031456060241907835
507,532,0.00031360478897113353
771,809,0.0003116464940831065
124,130,0.00031005126948002726
21,22,0.00030858395621180534
498,523,0.00030709285056218505
535,561,0.0003064595512114465
270,284,0.0003040707961190492
751,789,0.0003031086816918105
346,367,0.00030206935480237007
660,690,0.00030005174630787224
488,513,0.0002942643768619746
493,518,0.00029047136195003986
550,577,0.0002894179488066584
892,933,0.0002890944597311318
272,286,0.0002764061791822314
734,772,0.00026834855088964105
502,527,0.0002671279071364552
862,901,0.00026175940001849085
387,410,0.0002594790857983753
958,999,0.0002578676794655621
159,167,0.00025405228370800614
477,502,0.0002535237872507423
172,181,0.000253439400694333
283,297,0.0002525163727113977
113,118,0.0002468278762535192
921,962,0.0002460562973283231
137,144,0.00024354440392926335
585,612,0.00024342018878087401
813,851,0.00024291066802106798
690,723,0.00024219616898335516
319,337,0.00024199625477194786
163,171,0.00023687788052484393
527,553,0.00023171366774477065
351,372,0.00022617503418587148
827,865,0.00022560499201063067
952,993,0.00022008534870110452
481,506,0.00021754077170044184
708,743,0.0002118639968102798
333,353,0.00020960730034857988
798,836,0.0002090571797452867
745,783,0.0002056184021057561
194,203,0.0002023450579144992
685,717,0.00020192669762764126
233,247,0.00019418506417423487
868,907,0.00019203568808734417
547,574,0.0001900517090689391
10,10,0.0001899581402540207
