,gene,score
16,16,0.0018746927380561829
39,40,0.0018679642817005515
847,888,0.0018668769916985184
116,122,0.0018604552606120706
800,841,0.00179896573536098
501,526,0.0017924588173627853
8,8,0.0017819609493017197
443,467,0.0017651155358180404
816,857,0.001753833086695522
252,267,0.0017279914463870227
472,496,0.0017203879106091335
729,770,0.0017077012453228235
255,270,0.001689204655122012
676,711,0.001688572927378118
884,928,0.0016858906019479036
721,759,0.001675026724115014
488,513,0.0016627023869659752
181,190,0.001651469647185877
663,695,0.0016386784263886511
536,564,0.0016195568023249507
244,259,0.0016125486581586301
46,48,0.0016122889937832952
401,425,0.0015916314150672406
665,698,0.0015915857220534235
468,492,0.0015896265394985676
797,838,0.0015855856763664633
250,265,0.0015707828279118985
941,986,0.0015416967798955739
869,911,0.0015363922721007839
2,2,0.0015243696980178356
139,148,0.0015176823362708092
36,37,0.0015129083185456693
895,940,0.001503168954513967
363,385,0.0014916204672772437
777,818,0.0014563798322342336
32,33,0.001450217328965664
22,23,0.0014433475444093347
47,49,0.001438840408809483
907,952,0.0014271409017965198
865,907,0.0014209069777280092
845,886,0.0014027420547790825
791,832,0.0013821405009366572
37,38,0.0013566293637268245
427,451,0.001354479813016951
82,88,0.001354369567707181
569,598,0.0013469747500494123
881,925,0.0013334305258467793
819,860,0.0013146760175004601
200,210,0.0013069332344457507
432,456,0.0012991948751732707
347,368,0.0012613985672942363
288,304,0.0012481730664148927
680,715,0.0012481608719099313
357,378,0.0012457859702408314
598,628,0.0012411127099767327
798,839,0.0012305668788030744
445,469,0.0012304990668781102
745,786,0.001225760206580162
506,531,0.0012202330399304628
268,283,0.0012143537169322371
72,77,0.0012103972912882455
298,315,0.0012071472592651844
170,179,0.0011709385726135224
635,667,0.001164787681773305
152,161,0.0011526520975166932
447,471,0.0011417162022553384
490,515,0.001141554515925236
133,141,0.0011405049008317292
414,438,0.0011209693911951035
477,502,0.001120463763072621
419,443,0.0011125271848868579
113,119,0.0010953346645692363
870,913,0.001091041114705149
448,472,0.001084204821381718
254,269,0.001070953527232632
684,719,0.0010701728460844606
905,950,0.0010701287537813187
866,908,0.0010553867905400693
415,439,0.001055060318321921
840,881,0.0010508119594305754
163,172,0.0010500879434403032
12,12,0.0010460559278726578
902,947,0.0010335261758882552
201,211,0.0010316834668628871
894,939,0.0010222907731076702
900,945,0.001001706041279249
662,694,0.0009956381982192397
552,581,0.0009955312561942264
747,788,0.0009848144836723804
691,727,0.000979378557531163
120,127,0.0009788390307221562
137,146,0.0009718329820316285
918,963,0.000971287430729717
77,83,0.0009695945482235402
28,29,0.0009537880541756749
372,395,0.000950166788243223
390,414,0.0009435399551875889
817,858,0.0009353384666610509
933,978,0.0009352080815006047
677,712,0.0009334417700301856
483,508,0.0009312664624303579
63,65,0.0009273275209125131
145,154,0.0009244127504643984
576,605,0.0009145652657025494
852,893,0.0009134196443483233
101,107,0.0009117787121795118
470,494,0.0009021573059726506
79,85,0.0008970248454716057
226,239,0.000897004603757523
397,421,0.0008941389969550073
561,590,0.000893500771780964
843,884,0.0008877732325345278
625,657,0.0008768263214733452
61,63,0.0008751837667659856
428,452,0.0008743363723624498
328,346,0.0008651608950458467
422,446,0.0008647720678709447
150,159,0.0008614786202087998
186,195,0.0008456417708657682
449,473,0.0008322791545651853
221,234,0.0008313228900078684
512,537,0.0008285955991595984
93,99,0.0008196361886803061
212,224,0.0008196274575311691
773,814,0.0008187868515960872
775,816,0.0008099351689452305
378,402,0.0008088295580819249
891,936,0.000805292307632044
754,795,0.000804801908088848
313,330,0.0007997368229553103
830,871,0.0007940683863125741
