,gene,score
520,544,0.11188584752380848
462,485,0.08901669830083847
434,456,0.05553460493683815
697,730,0.04071950959041715
695,727,0.03486155392602086
790,827,0.02984756790101528
883,920,0.029534957371652126
678,709,0.02907652547582984
873,910,0.02625699224881828
141,150,0.02565021440386772
850,887,0.025174101814627647
111,117,0.02395650092512369
402,424,0.023185185622423887
139,148,0.022589711472392082
738,775,0.02121366886422038
611,639,0.021158011630177498
947,985,0.020541489124298096
328,346,0.018671230878680944
574,601,0.018483404302969575
561,588,0.01605775486677885
359,379,0.01581248128786683
801,838,0.014761660248041153
98,103,0.014562373980879784
366,386,0.014355174032971263
721,755,0.014349672012031078
394,416,0.014055764302611351
858,895,0.013445702730678022
599,626,0.013347197324037552
665,694,0.012998196296393871
905,943,0.012580004404298961
425,447,0.012329528341069818
361,381,0.011285936227068305
880,917,0.011273933108896017
87,92,0.011235048994421959
750,787,0.011201044078916311
153,162,0.010961055988445878
578,605,0.010644728550687432
554,581,0.010344638023525476
855,892,0.010308798169717193
912,950,0.010265696328133345
788,825,0.01009317534044385
333,353,0.009751547127962112
817,854,0.009568494744598866
920,958,0.009509444644208997
860,897,0.009301619604229927
419,441,0.009059207513928413
624,653,0.009032460860908031
302,319,0.008767479797825217
140,149,0.008750950335524976
321,338,0.008621408604085445
318,335,0.008608196396380663
657,686,0.008607673924416304
348,368,0.008472483605146408
568,595,0.008395798737183213
471,494,0.008391836890950799
542,569,0.008045644033700228
27,28,0.007964503718540072
906,944,0.007932522566989064
661,690,0.0077638954389840364
910,948,0.007752039935439825
709,743,0.007747315103188157
692,724,0.007672986947000027
432,454,0.007628352148458362
759,796,0.007606212631799281
871,908,0.007412973209284246
768,805,0.0072146805468946695
84,89,0.007023050216957927
507,531,0.006883144727908075
531,557,0.006839935667812824
219,232,0.006822283612564206
373,394,0.00669133523479104
767,804,0.006679140496999025
54,57,0.006594454171136022
761,798,0.006449580658227205
717,751,0.006166553124785423
152,161,0.0061659496277570724
723,757,0.006071083014830947
641,670,0.0059870146214962006
309,326,0.005915411573369056
804,841,0.0058440216816961765
793,830,0.0058342209085822105
839,876,0.005801589431939647
293,308,0.005773222888819873
332,352,0.005742770852521062
304,321,0.0056086169788613915
493,517,0.0055514880223199725
685,716,0.005496964207850397
960,998,0.005464094923809171
47,50,0.005437532905489206
799,836,0.005379151727538556
610,638,0.005339655792340636
797,834,0.005294028844218701
228,241,0.00517307105474174
654,683,0.005171694327145815
422,444,0.005151823628693819
426,448,0.0051236506551504135
448,471,0.005095136584714055
877,914,0.005087675410322845
447,470,0.00503337848931551
681,712,0.0049695741618052125
175,185,0.004920553765259683
12,12,0.004736213479191065
367,387,0.004699718207120895
643,672,0.00465012266067788
364,384,0.004628948692698032
835,872,0.004584429319947958
79,84,0.004474315093830228
294,310,0.0044262881856411695
587,614,0.004371866467408836
719,753,0.004366732144262642
238,251,0.004352423828095198
476,499,0.004335616948083043
31,33,0.004323441302403808
566,593,0.004269748576916754
26,27,0.00418706052005291
142,151,0.0041836153250187635
891,929,0.004170286934822798
710,744,0.004158067284151912
1,1,0.004108291119337082
261,274,0.004080253187566996
591,618,0.004053633660078049
805,842,0.004036084283143282
560,587,0.003969749668613076
534,560,0.003925977740436792
463,486,0.003915077308192849
837,874,0.0038973670452833176
492,516,0.0038837906904518604
99,104,0.0038806532975286245
497,521,0.0038750405656173825
898,936,0.0038746041245758533
658,687,0.0038673775270581245
628,657,0.0038208884652704
128,136,0.0037957855965942144
954,992,0.0037675033090636134
