,gene,score
695,727,0.08192216977477074
60,62,0.05167962331324816
90,94,0.04526035860180855
474,497,0.04276973847299814
881,920,0.042177884839475155
915,955,0.04182578297331929
334,353,0.029457825236022472
123,128,0.02743364218622446
817,854,0.027211535722017288
103,107,0.025492751505225897
139,146,0.02423157962039113
805,842,0.02364268945530057
878,917,0.023333755787461996
302,319,0.022963044233620167
570,597,0.019911140203475952
677,709,0.019606083631515503
872,910,0.01953739719465375
68,72,0.018647467717528343
322,339,0.017529577249661088
143,150,0.015736665576696396
710,744,0.015306547284126282
464,487,0.015167396515607834
345,365,0.015080691780894995
867,905,0.014584686141461134
827,864,0.014497429132461548
99,103,0.013589599402621388
415,437,0.013204566668719053
731,767,0.013158313930034637
773,810,0.012986198998987675
661,690,0.012745019048452377
875,914,0.012460340978577733
65,67,0.01218040706589818
535,560,0.011961209587752819
435,457,0.01151020242832601
601,629,0.011499162297695875
776,813,0.01136965723708272
919,959,0.01126929372549057
182,190,0.011169569101184607
739,775,0.011007575318217278
24,24,0.010968910530209541
330,349,0.010846644174307585
598,626,0.010761669371277094
784,821,0.010758976452052593
896,936,0.010474587325006723
882,921,0.010111105628311634
132,138,0.010043997317552567
327,344,0.010016303975135088
654,683,0.009944810532033443
62,64,0.009674315922893584
532,557,0.009639771189540625
680,712,0.009397606365382671
76,80,0.009298106655478477
432,454,0.008984192740172148
543,569,0.008959697326645255
730,765,0.008863469352945685
42,43,0.008814559550955892
482,505,0.008788451086729765
434,456,0.008550615515559912
459,482,0.00853625382296741
511,534,0.008489940548315644
949,989,0.008385759079828858
366,386,0.008232766296714544
347,367,0.008186980616301298
67,71,0.007935834000818431
101,105,0.007835537195205688
558,584,0.007705618627369404
904,944,0.0075672289822250605
671,700,0.007566191838122904
720,754,0.00745574664324522
948,988,0.007441795896738768
624,653,0.007384112337604165
55,57,0.007355415960773826
374,395,0.007262669154442847
226,239,0.007140698144212365
130,136,0.00708598701748997
439,461,0.007068009523209184
545,571,0.0069259474985301495
893,933,0.006896627135574818
700,733,0.0068884980864822865
283,297,0.006770165637135506
506,529,0.0066009616712108254
87,91,0.006463092693593353
430,452,0.006396434735506773
952,992,0.0063887969590723515
462,485,0.0063795726746320724
643,672,0.006244804477319121
274,288,0.006240885239094496
409,431,0.0061955193523317575
118,122,0.005957509973086417
868,906,0.00586594408378005
104,108,0.005827138666063547
518,541,0.005818674573674798
709,743,0.005601368611678481
750,786,0.00556689128279686
529,554,0.0055666389525868
250,264,0.005558421136811376
945,985,0.00555786956101656
886,926,0.005501333391293883
281,295,0.005498291924595833
320,337,0.0054876531939953566
73,77,0.005475723941344768
803,840,0.0054330745479092
219,232,0.005362475058063865
164,171,0.005330796120688319
613,642,0.00528067396953702
528,553,0.005204785848036408
824,861,0.00511068245396018
471,494,0.005090712453238666
902,942,0.005014426656998694
507,530,0.00501312711276114
877,916,0.004739017225801945
247,261,0.004713666858151555
372,392,0.004686801112256944
298,315,0.004671146161854267
495,518,0.004582277499139309
914,954,0.004556373227387667
908,948,0.0045515334932133555
764,801,0.004473435808904469
428,450,0.004400485544465482
197,205,0.004378004290629178
248,262,0.004342061700299382
172,180,0.0043131893035024405
956,996,0.004260878427885473
917,957,0.004165722290053964
343,363,0.004127695574425161
478,501,0.004069110727868974
756,793,0.004069029702804983
491,514,0.004005320544820279
365,385,0.003988964483141899
126,132,0.00395631545688957
780,817,0.003953286330215633
456,479,0.003937098372261971
384,406,0.003907827311195433
387,409,0.003906524041667581
373,394,0.00389915012056008
897,937,0.0038869990967214108
566,593,0.003841951140202582
847,884,0.0038310920353978872
282,296,0.0037092675047460943
735,771,0.0036982325837016106
142,149,0.0036535297986119986
80,84,0.0036481244023889303
263,277,0.003640314156655222
539,565,0.003577428971766494
501,524,0.0035585375735536218
728,763,0.003552716283593327
33,33,0.00351428403519094
855,893,0.003485203313175589
568,595,0.003478334692772478
790,827,0.0034033460542559624
614,643,0.003388736513443291
512,535,0.003388296579942107
746,782,0.003330846782773733
592,620,0.0032914243638515472
276,290,0.003280895121861249
260,274,0.0032646743347868323
253,267,0.0032493564067408442
636,665,0.003242640639655292
481,504,0.0032346169173251837
837,874,0.00322512979619205
870,908,0.0032130033941939473
470,493,0.0032104593701660633
146,153,0.0032057574717327952
676,708,0.0031632421305403113
304,321,0.003150099655613303
176,184,0.003145639318972826
871,909,0.003145489317830652
675,706,0.003143632144201547
588,616,0.003111407859250903
884,924,0.0030515496036969125
552,578,0.0030489274067804217
859,897,0.003031239379197359
642,671,0.002989026776049286
718,752,0.002951298258267343
801,838,0.0029099222738295794
620,649,0.002875814796425402
646,675,0.002849656855687499
39,39,0.0028330020140856504
267,281,0.0028227192524354905
648,677,0.002801272668875754
640,669,0.002793806081172079
200,208,0.0027904296875931323
618,647,0.0027745263651013374
778,815,0.002720358083024621
560,587,0.0027081597363576293
619,648,0.0026904333208221942
876,915,0.002678264048881829
445,467,0.002665432752110064
121,126,0.002650001086294651
30,30,0.002619099570438266
144,151,0.0026190776843577623
404,426,0.0025967651745304465
295,311,0.0025966939865611494
548,574,0.002579295076429844
187,195,0.002560749329859391
754,791,0.002550025819800794
565,592,0.002540304383728653
195,203,0.002534075640141964
888,928,0.0025204537669196725
657,686,0.0025123796658590436
603,631,0.0024929637438617647
