,gene,score
688,730,0.05796324275434017
258,276,0.0500307809561491
650,687,0.03655165992677212
342,368,0.027365532238036394
900,948,0.02454088209196925
766,812,0.024328092113137245
502,531,0.02391059184446931
214,230,0.023784744553267956
634,670,0.019322835840284824
195,207,0.01873266650363803
87,92,0.015448718331754208
395,423,0.015448281541466713
327,352,0.015153782442212105
581,613,0.015089756343513727
239,256,0.01409476064145565
305,327,0.013710730709135532
298,320,0.013586240820586681
264,282,0.013492345809936523
822,868,0.013358596013858914
35,36,0.01335157360881567
278,297,0.01303745445329696
146,157,0.011938090436160564
30,31,0.010818022070452571
413,441,0.010775029892101884
745,791,0.010719488142058253
33,34,0.010623382404446602
4,4,0.010358800180256367
139,150,0.00975623051635921
150,161,0.009738750522956252
556,588,0.009143727831542492
750,796,0.009143538773059845
846,892,0.009020241210237145
398,426,0.008552646555472165
617,653,0.008527318947017193
874,921,0.008310873992741108
879,927,0.00826485175639391
561,593,0.008199441712349653
16,16,0.007887321524322033
281,300,0.007812716532498598
921,969,0.007703294279053807
272,291,0.007593938382342458
549,581,0.00745534454472363
919,967,0.007348551414906979
596,629,0.00717986945528537
475,504,0.007080273819155991
910,958,0.0070585524663329124
324,349,0.007025817409157753
114,122,0.006943333428353071
870,917,0.00645076809450984
677,716,0.006355189252644777
764,810,0.005802150582894683
120,129,0.00577198900282383
316,338,0.005614323541522026
289,310,0.005523991072550416
440,468,0.005447390431072563
725,771,0.005354972323402762
552,584,0.005340263829566538
536,568,0.005288056563585997
154,165,0.005217677331529558
39,40,0.005217067140620202
8,8,0.0051996707916259766
6,6,0.005181547254323959
83,88,0.005107169388793409
575,607,0.005031394772231579
106,114,0.005022275960072875
550,582,0.004931380972266197
469,497,0.004927794449031353
42,43,0.0049249924486503005
353,379,0.004895678721368313
836,882,0.004836453590542078
929,977,0.004795041284523904
291,312,0.004706578620243818
880,928,0.004694784991443157
734,780,0.004559005843475461
117,126,0.004465311067178845
645,682,0.00442644371651113
657,694,0.0043570868438109756
284,304,0.004340075654909015
691,733,0.0043257722281850874
438,466,0.004187867045402527
330,355,0.004180267045740038
383,411,0.004011994693428278
382,410,0.003932183957658708
58,60,0.003890655469149351
760,806,0.0038869718555361032
60,62,0.00382648449158296
884,932,0.0038190990453585982
174,186,0.003817126387730241
295,317,0.003781505161896348
12,12,0.0037538427859544754
15,15,0.0037413351237773895
585,617,0.0036758333444595337
26,27,0.003662652103230357
28,29,0.003647217759862542
1,1,0.0036314616445451975
457,485,0.003631287720054388
816,862,0.0036266802344471216
928,976,0.0035588113532867283
756,802,0.003497227095067501
329,354,0.0034955915762111545
527,558,0.0034530895645730197
864,910,0.0034311701892875135
584,616,0.0034257855731993914
876,924,0.0033980663865804672
873,920,0.003371868864633143
693,735,0.003312859626021236
428,456,0.0032992511987686157
872,919,0.003292855981271714
689,731,0.0032690400548744947
885,933,0.003260537108872086
345,371,0.0032176239765249193
99,107,0.0032114640343934298
679,719,0.0031992678996175528
317,339,0.003195567522197962
767,813,0.00316316238604486
859,905,0.003146552131511271
652,689,0.003064916585572064
696,738,0.003057404945138842
5,5,0.0030439579859375954
820,866,0.003039010684005916
933,981,0.0030260126368375495
938,986,0.002981064491905272
582,614,0.0029612709768116474
729,775,0.002957141143269837
515,544,0.0029563409043475986
510,539,0.002943740924820304
103,111,0.002850731136277318
397,425,0.002825741103151813
406,434,0.002823294373229146
259,277,0.002821075962856412
590,622,0.0028033247217535973
10,10,0.002787834033370018
498,527,0.002726233913563192
603,638,0.0026523505803197622
77,82,0.0026313799899071455
22,23,0.0026303183985874057
564,596,0.0026227948255836964
126,136,0.0025967114488594234
924,972,0.0025760605931282043
840,886,0.00257547662477009
386,414,0.002534325874876231
385,413,0.002520097652450204
790,836,0.0025114117888733745
487,516,0.002508166362531483
370,397,0.002495190710760653
145,156,0.0024920249707065523
656,693,0.0024700905778445303
555,587,0.0024559457087889314
416,444,0.0024490809300914407
241,258,0.002439115196466446
716,759,0.0024325831909663975
45,46,0.0024163525085896254
373,400,0.0024100479495245963
488,517,0.0024054015520960093
100,108,0.0023911178577691317
770,816,0.0023783445067238063
817,863,0.002373542869463563
7,7,0.0023311758413910866
157,168,0.002321505395229906
51,53,0.0023177965776994824
101,109,0.0023170147323980927
853,899,0.0023078154190443456
619,655,0.0023041360545903444
655,692,0.0023013988393358886
224,240,0.0022875029826536775
786,832,0.0022771868971176445
98,105,0.002273701597005129
857,903,0.002180215436965227
222,238,0.0021499767899513245
732,778,0.00213321961928159
335,361,0.002121120342053473
37,38,0.002118509844876826
825,871,0.002115720883011818
88,93,0.0020977876556571573
695,737,0.002091610338538885
368,395,0.0020667241187766194
489,518,0.0020370000856928527
532,564,0.0020102723501622677
297,319,0.001998445251956582
462,490,0.001986096234759316
180,192,0.0019668960303533822
878,926,0.001953518483787775
313,335,0.0019453030545264482
0,0,0.0019403451005928218
263,281,0.0019353664247319102
741,787,0.0019290685595478863
431,459,0.0019105445826426148
323,346,0.0018906034529209137
630,666,0.0018811672052834183
61,63,0.0018704428512137383
473,502,0.001868485938757658
197,210,0.0018565937643870711
234,250,0.001848641608376056
225,241,0.0018379474058747292
254,271,0.0018331739120185375
410,438,0.0018278890929650515
512,541,0.0018093541148118675
